"Airport/Carrier","Max/Min Devs"
"AA-SWF",-30
"AA-SYR",217
"AA-SYR",-27
"AA-TPA",352
"AA-TPA",-47
"AA-TUL",299
"AA-TUL",-54
"AA-TUS",291
"AA-TUS",-46
"AA-TYS",187
"AA-TYS",-29
"AA-XNA",223
"AA-XNA",-31
"AQ-HNL",60
"AQ-HNL",-62
"AQ-ITO",32
"AQ-ITO",-13
"AQ-KOA",66
"AQ-KOA",-63
"AQ-LAS",27
"AQ-LAS",-23
"AQ-LIH",68
"AQ-LIH",-34
"AQ-OAK",49
"AQ-OAK",-86
"AQ-OGG",107
"AQ-OGG",-77
"AQ-RNO",43
"AQ-RNO",-68
"AQ-SAN",63
"AQ-SAN",-60
"AQ-SMF",59
"AQ-SMF",-77
"AQ-SNA",50
"AQ-SNA",-112
"AS-ADK",26
"AS-ADK",-42
"AS-ADQ",48
"AS-ADQ",-16
"AS-AKN",51
"AS-AKN",-27
"AS-ANC",196
"AS-ANC",-85
"AS-BET",41
"AS-BET",-23
"AS-BOI",88
"AS-BOI",-20
"AS-BOS",156
"AS-BOS",-73
"AS-BRW",65
"AS-BRW",-25
"AS-BUR",62
"AS-BUR",-38
"AS-CDV",65
"AS-CDV",-20
"AS-DCA",254
"AS-DCA",-72
"AS-DEN",159
"AS-DEN",-40
"AS-DFW",166
"AS-DFW",-48
"AS-DLG",26
"AS-DLG",-21
"AS-DUT",33
"AS-DUT",-25
"AS-EWR",204
"AS-EWR",-83
"AS-FAI",82
"AS-FAI",-60
"AS-GEG",120
"AS-GEG",-38
"AS-GST",51
"AS-GST",-11
"AS-HNL",37
"AS-HNL",-64
"AS-IAD",134
"AS-IAD",-57
"AS-JNU",114
"AS-JNU",-49
"AS-KOA",43
"AS-KOA",-26
"AS-KTN",101
"AS-KTN",-29
"AS-LAS",1443
"AS-LAS",-61
"AS-LAX",126
"AS-LAX",-76
"AS-LGB",119
"AS-LGB",-45
"AS-LIH",40
"AS-LIH",-56
"AS-MCO",117
"AS-MCO",-62
"AS-MIA",70
"AS-MIA",-51
"AS-MSP",63
"AS-MSP",-15
"AS-OAK",140
"AS-OAK",-30
"AS-OGG",47
"AS-OGG",-52
"AS-OME",89
"AS-OME",-34
"AS-ONT",91
"AS-ONT",-35
"AS-ORD",231
"AS-ORD",-62
"AS-OTZ",85
"AS-OTZ",-26
"AS-PDX",118
"AS-PDX",-82
"AS-PHX",185
"AS-PHX",-51
"AS-PSG",78
"AS-PSG",-18
"AS-PSP",97
"AS-PSP",-32
